Date,Open,High,Low,Close,Adj,Close,Volume
2015-01-27,29189.449219,29618.589844,29165.560547,29571.039063,29571.039063,11300,
2015-01-28,29565.720703,29786.320313,29417.669922,29559.179688,29559.179688,11200,
2015-01-29,29516.490234,29740.630859,29378.300781,29681.769531,29681.769531,12700,
2015-01-30,29801.599609,29844.160156,29070.480469,29182.949219,29182.949219,15800,
2015-02-02,29143.630859,29268.130859,28958.519531,29122.269531,29122.269531,18000,
2015-02-03,29217.400391,29253.060547,28900.410156,29000.140625,29000.140625,16600,
2015-02-04,29129.849609,29133.619141,28824.679688,28883.109375,28883.109375,15800,
2015-02-05,28912.380859,29277.830078,28753.289063,28850.970703,28850.970703,12800,
2015-02-06,28892.210938,28922.849609,28647.140625,28717.910156,28717.910156,11400,
2015-02-09,28566.5,28566.5,28183.320313,28227.390625,28227.390625,11700,
2015-02-10,28122.480469,28633.720703,28044.490234,28355.619141,28355.619141,14600,
2015-02-11,28450.259766,28618.910156,28424.390625,28533.970703,28533.970703,13800,
2015-02-12,28650.25,28838.519531,28406.25,28805.099609,28805.099609,13800,
2015-02-13,28888.990234,29154.669922,28835.699219,29094.929688,29094.929688,17600,
2015-02-16,29170.769531,29325.349609,29083.400391,29135.880859,29135.880859,10500,
2015-02-18,29170.769531,29411.320313,29083.400391,29320.259766,29320.259766,11000,
2015-02-19,29434.910156,29522.859375,29108.150391,29462.269531,29462.269531,11900,
2015-02-20,29446.210938,29462.089844,29178.259766,29231.410156,29231.410156,11500,
2015-02-23,29316.580078,29362.960938,28913.160156,28975.109375,28975.109375,8800,
2015-02-24,29016.550781,29130.669922,28875.939453,29004.660156,29004.660156,10200,
2015-02-25,29115.320313,29269.830078,28967.609375,29007.990234,29007.990234,8000,
2015-02-26,29051.900391,29069.130859,28693.820313,28746.650391,28746.650391,10700,
2015-02-27,28865.119141,29254.019531,28837.060547,29220.119141,29220.119141,16500,
2015-02-28,null,null,null,null,null,null,
2015-03-02,29533.419922,29576.320313,29259.769531,29459.140625,29459.140625,15300,
2015-03-03,29500.189453,29636.859375,29364.869141,29593.730469,29593.730469,12200,
2015-03-04,29937.269531,30024.740234,29289.050781,29380.730469,29380.730469,17000,
2015-03-05,29436.769531,29518.320313,29162.470703,29448.949219,29448.949219,13400,
2015-03-09,29436.769531,29518.320313,28799.759766,28844.779297,28844.779297,11800,
2015-03-10,28924.060547,28949.109375,28584.490234,28709.869141,28709.869141,11200,
2015-03-11,28725.75,28843.230469,28608.179688,28659.169922,28659.169922,12500,
2015-03-12,28798.609375,28971.009766,28772.710938,28930.410156,28930.410156,11100,
2015-03-13,29134.929688,29183.759766,28448.480469,28503.300781,28503.300781,11500,
2015-03-16,28546.310547,28581.820313,28384.089844,28437.710938,28437.710938,11100,
2015-03-17,28595,28784.349609,28435.449219,28736.380859,28736.380859,11000,
2015-03-18,28766.869141,28806.970703,28546.759766,28622.119141,28622.119141,9700,
2015-03-19,28805.220703,28978.740234,28411.699219,28469.669922,28469.669922,11400,
2015-03-20,28465.439453,28484.359375,28209.660156,28261.080078,28261.080078,13900,
2015-03-23,28317.289063,28385.140625,28163.900391,28192.019531,28192.019531,10000,
2015-03-24,28209.330078,28455.320313,28130.089844,28161.720703,28161.720703,9700,
2015-03-25,28216.089844,28249.599609,28031.419922,28111.830078,28111.830078,17400,
2015-03-26,27937.619141,27997.140625,27384.869141,27457.580078,27457.580078,12700,
2015-03-27,27649.779297,27694.410156,27248.449219,27458.640625,27458.640625,11400,
2015-03-30,27655.789063,28017.970703,27624.759766,27975.859375,27975.859375,11100,
2015-03-31,28069.849609,28180.640625,27868.210938,27957.490234,27957.490234,11100,
2015-04-01,27954.859375,28298.339844,27889.019531,28260.140625,28260.140625,8100,
2015-04-06,27954.859375,28530.810547,27889.019531,28504.460938,28504.460938,8300,
2015-04-07,28582.330078,28641.080078,28274.359375,28516.589844,28516.589844,11900,
2015-04-08,28601.490234,28763.060547,28566.609375,28707.75,28707.75,9800,
2015-04-09,28858.419922,28906.710938,28622.439453,28885.210938,28885.210938,13100,
2015-04-10,28889.269531,28907.810547,28756.75,28879.380859,28879.380859,8000,
2015-04-13,28955.130859,29072.509766,28843.939453,29044.439453,29044.439453,8500,
2015-04-15,28955.130859,29094.609375,28721.630859,28799.689453,28799.689453,10500,
2015-04-16,28876.230469,28876.230469,28497.699219,28666.039063,28666.039063,8400,
2015-04-17,28682.970703,28696.189453,28403.759766,28442.099609,28442.099609,13900,
2015-04-20,28525.650391,28539.460938,27802.369141,27886.210938,27886.210938,19000,
2015-04-21,27860.509766,27976.929688,27598.210938,27676.039063,27676.039063,20700,
2015-04-22,27756.679688,27947.259766,27385.480469,27890.130859,27890.130859,11700,
2015-04-23,27977.269531,28087.779297,27621.179688,27735.019531,27735.019531,11400,
2015-04-24,27804.580078,27829.109375,27344.699219,27437.939453,27437.939453,12000,
2015-04-27,27565.490234,27567.279297,27141.550781,27176.990234,27176.990234,12100,
2015-04-28,27215.609375,27482.140625,27073.25,27396.380859,27396.380859,10300,
2015-04-29,27395.710938,27438.960938,27176.539063,27225.929688,27225.929688,9500,
2015-04-30,27242.050781,27242.050781,26897.539063,27011.310547,27011.310547,10900,
2015-05-04,27242.050781,27537.849609,26897.539063,27490.589844,27490.589844,8300,
2015-05-05,27561.320313,27603.710938,27338.230469,27440.140625,27440.140625,11300,
2015-05-06,27473.359375,27501.150391,26677.640625,26717.369141,26717.369141,14200,
2015-05-07,26721.339844,26850.369141,26423.990234,26599.109375,26599.109375,12500,
2015-05-08,26814.380859,27196.279297,26814.380859,27105.390625,27105.390625,8800,
2015-05-11,27249.419922,27544.240234,27231.279297,27507.300781,27507.300781,11300,
2015-05-12,27502.910156,27502.910156,26837.390625,26877.480469,26877.480469,12400,
2015-05-13,27023.710938,27299.800781,26750.009766,27251.099609,27251.099609,13600,
2015-05-14,27290.169922,27293.990234,26948.619141,27206.060547,27206.060547,8900,
2015-05-15,27233.900391,27379.570313,27159.759766,27324,27324,9300,
2015-05-18,27416.970703,27725.970703,27370.279297,27687.300781,27687.300781,7800,
2015-05-19,27663.080078,27872.230469,27574.070313,27645.529297,27645.529297,10600,
2015-05-20,27749.300781,27903.009766,27743.990234,27837.210938,27837.210938,16400,
2015-05-21,27885.359375,27911.439453,27712.730469,27809.349609,27809.349609,8400,
2015-05-22,27849.539063,28071.160156,27828.609375,27957.5,27957.5,17800,
2015-05-25,27893.25,27903.289063,27614.320313,27643.880859,27643.880859,8300,
2015-05-26,27633.660156,27675.939453,27473.539063,27531.410156,27531.410156,7100,
2015-05-27,27447.400391,27595.800781,27363.720703,27564.660156,27564.660156,8600,
2015-05-28,27619.310547,27666.369141,27354.349609,27506.710938,27506.710938,9000,
2015-05-29,27553.029297,27888.320313,27467.230469,27828.439453,27828.439453,12500,
2015-06-01,27770.789063,27959.429688,27737.580078,27848.990234,27848.990234,9600,
2015-06-02,27890.730469,27902.529297,27146.679688,27188.380859,27188.380859,14500,
2015-06-03,27230.679688,27276.220703,26698.259766,26837.199219,26837.199219,14000,
2015-06-04,26940.640625,26948.839844,26551.970703,26813.419922,26813.419922,11600,
2015-06-05,26819.820313,27014.419922,26718.439453,26768.490234,26768.490234,11900,
2015-06-08,26814.310547,26827.060547,26472.869141,26523.089844,26523.089844,7900,
2015-06-09,26510.289063,26604.650391,26438.320313,26481.25,26481.25,11000,
2015-06-10,26517.320313,26934.740234,26493.289063,26840.5,26840.5,8400,
2015-06-11,26959.980469,27000.140625,26348.929688,26370.980469,26370.980469,11300,
2015-06-12,26340.320313,26489.580078,26307.070313,26425.300781,26425.300781,9600,
2015-06-15,26498.669922,26728.599609,26307.839844,26586.550781,26586.550781,11000,
2015-06-16,26586.859375,26731.349609,26379.929688,26686.509766,26686.509766,13100,
2015-06-17,26815.410156,26983.480469,26728.890625,26832.660156,26832.660156,23000,
2015-06-18,26916.990234,27175.390625,26910.259766,27115.830078,27115.830078,10500,
2015-06-19,27207.759766,27404.599609,27202.380859,27316.169922,27316.169922,8100,
2015-06-22,27427.189453,27782.310547,27417.029297,27730.210938,27730.210938,8100,
2015-06-23,27760.109375,27882.660156,27666.589844,27804.369141,27804.369141,8600,
2015-06-24,27852.320313,27948.240234,27647.289063,27729.669922,27729.669922,9400,
2015-06-25,27660.220703,27968.75,27635.759766,27895.970703,27895.970703,10100,
2015-06-26,27880.720703,27921.859375,27675.160156,27811.839844,27811.839844,9600,
2015-06-29,27451.070313,27695.320313,27209.189453,27645.150391,27645.150391,10900,
2015-06-30,27627.390625,27814.529297,27570.949219,27780.830078,27780.830078,9500,
2015-07-01,27823.650391,28099.25,27799.910156,28020.869141,28020.869141,18400,
2015-07-02,28100.380859,28115.960938,27906.349609,27945.800781,27945.800781,6800,
2015-07-03,27973.119141,28135.429688,27897.449219,28092.789063,28092.789063,6000,
2015-07-06,27857.199219,28235.310547,27774.800781,28208.759766,28208.759766,8300,
2015-07-07,28220.109375,28335.230469,28084.359375,28171.689453,28171.689453,8000,
2015-07-08,28031.449219,28031.449219,27635.720703,27687.720703,27687.720703,13700,
2015-07-09,27681.490234,27798.130859,27540.599609,27573.660156,27573.660156,8200,
2015-07-10,27705.359375,27729.460938,27530.900391,27661.400391,27661.400391,10800,
2015-07-13,27739.320313,28005.169922,27635.060547,27961.189453,27961.189453,7800,
2015-07-14,27986.919922,28018.589844,27853.960938,27932.900391,27932.900391,6900,
2015-07-15,28022.140625,28218.369141,27986.480469,28198.289063,28198.289063,6000,
2015-07-16,28259.699219,28478.429688,28245.810547,28446.119141,28446.119141,8500,
2015-07-17,28480.919922,28576.320313,28417.460938,28463.310547,28463.310547,7300,
2015-07-20,28544.279297,28549.130859,28319.830078,28420.119141,28420.119141,6600,
2015-07-21,28381.820313,28518.060547,28138.300781,28182.140625,28182.140625,11700,
2015-07-22,28159.419922,28546.419922,28070.910156,28504.929688,28504.929688,9500,
2015-07-23,28540.970703,28578.330078,28315.369141,28370.839844,28370.839844,8900,
2015-07-24,28390.5,28402.640625,28083.759766,28112.310547,28112.310547,9300,
2015-07-27,28117.650391,28117.650391,27529.570313,27561.380859,27561.380859,9500,
2015-07-28,27630.210938,27676.650391,27416.390625,27459.230469,27459.230469,11800,
2015-07-29,27540.460938,27609.289063,27470.089844,27563.429688,27563.429688,8600,
2015-07-30,27685.820313,27854.460938,27649.970703,27705.349609,27705.349609,9400,
2015-07-31,27814.509766,28161.169922,27814.509766,28114.560547,28114.560547,15000,
2015-08-03,28089.089844,28263.349609,28071.369141,28187.060547,28187.060547,10200,
2015-08-04,28225.039063,28264.720703,27866.119141,28071.929688,28071.929688,13600,
2015-08-05,28138.039063,28315.710938,28135.679688,28223.080078,28223.080078,9800,
2015-08-06,28291.880859,28359.960938,28163.689453,28298.130859,28298.130859,7500,
2015-08-07,28327.109375,28335.669922,28193.929688,28236.390625,28236.390625,10300,
2015-08-10,28250.779297,28417.589844,28017.849609,28101.720703,28101.720703,8700,
2015-08-11,28193.259766,28205.119141,27825.830078,27866.089844,27866.089844,14700,
2015-08-12,27880.759766,27883.330078,27479.429688,27512.259766,27512.259766,18200,
2015-08-13,27635.25,27791.099609,27496.289063,27549.529297,27549.529297,15900,
2015-08-14,27668.060547,28100.640625,27643.199219,28067.310547,28067.310547,13200,
2015-08-17,28093.539063,28095.970703,27739.130859,27878.269531,27878.269531,12300,
2015-08-18,27949.130859,28040.730469,27747.400391,27831.539063,27831.539063,11800,
2015-08-19,27851.810547,28021.390625,27721.25,27931.640625,27931.640625,10900,
2015-08-20,27959.189453,27964.599609,27564.160156,27607.820313,27607.820313,14400,
2015-08-21,27440.099609,27442.820313,27131.439453,27366.070313,27366.070313,14000,
2015-08-24,26730.400391,26730.400391,25624.720703,25741.560547,25741.560547,26000,
2015-08-25,25916.259766,26124.830078,25298.419922,26032.380859,26032.380859,21200,
2015-08-26,26063.269531,26156.609375,25657.560547,25714.660156,25714.660156,13400,
2015-08-27,26137.029297,26302.769531,25943.75,26231.189453,26231.189453,18600,
2015-08-28,26542.839844,26687.330078,26270.169922,26392.380859,26392.380859,12100,
2015-08-31,26469.419922,26504.730469,26215.160156,26283.089844,26283.089844,10000,
2015-09-01,26127.039063,26141.070313,25579.880859,25696.439453,25696.439453,14000,
2015-09-02,25891.949219,25939.369141,25395.089844,25453.560547,25453.560547,16200,
2015-09-03,25614.689453,25835.410156,25555.769531,25764.779297,25764.779297,11300,
2015-09-04,25772.580078,25775.380859,25119.060547,25201.900391,25201.900391,14100,
2015-09-07,25302.980469,25387.320313,24851.769531,24893.810547,24893.810547,12800,
2015-09-08,24972.009766,25411,24833.539063,25317.869141,25317.869141,12600,
2015-09-09,25682.869141,25820.560547,25553.609375,25719.580078,25719.580078,14400,
2015-09-10,25522.960938,25733.699219,25287.5,25622.169922,25622.169922,14600,
2015-09-11,25793.769531,25875.960938,25530.410156,25610.210938,25610.210938,11800,
2015-09-14,25706.869141,25891.730469,25531.070313,25856.699219,25856.699219,8800,
2015-09-15,25908.339844,25909.830078,25649.369141,25705.929688,25705.929688,11200,
2015-09-16,25884.050781,26006.75,25816.5,25963.970703,25963.970703,9600,
2015-09-18,26130.359375,26471.820313,26130.359375,26218.910156,26218.910156,56600,
2015-09-21,26107.980469,26233.460938,25972.539063,26192.980469,26192.980469,8100,
2015-09-22,26274.369141,26339.099609,25571.339844,25651.839844,25651.839844,13600,
2015-01-27,29189.449219,29618.589844,29165.560547,29571.039063,29571.039063,11300,
2015-01-28,29565.720703,29786.320313,29417.669922,29559.179688,29559.179688,11200,
2015-01-29,29516.490234,29740.630859,29378.300781,29681.769531,29681.769531,12700,
2015-01-30,29801.599609,29844.160156,29070.480469,29182.949219,29182.949219,15800,
2015-02-02,29143.630859,29268.130859,28958.519531,29122.269531,29122.269531,18000,
2015-02-03,29217.400391,29253.060547,28900.410156,29000.140625,29000.140625,16600,
2015-02-04,29129.849609,29133.619141,28824.679688,28883.109375,28883.109375,15800,
2015-02-05,28912.380859,29277.830078,28753.289063,28850.970703,28850.970703,12800,
2015-02-06,28892.210938,28922.849609,28647.140625,28717.910156,28717.910156,11400,
2015-02-09,28566.5,28566.5,28183.320313,28227.390625,28227.390625,11700,
2015-02-10,28122.480469,28633.720703,28044.490234,28355.619141,28355.619141,14600,
2015-02-11,28450.259766,28618.910156,28424.390625,28533.970703,28533.970703,13800,
2015-02-12,28650.25,28838.519531,28406.25,28805.099609,28805.099609,13800,
2015-02-13,28888.990234,29154.669922,28835.699219,29094.929688,29094.929688,17600,
2015-02-16,29170.769531,29325.349609,29083.400391,29135.880859,29135.880859,10500,
2015-02-18,29170.769531,29411.320313,29083.400391,29320.259766,29320.259766,11000,
2015-02-19,29434.910156,29522.859375,29108.150391,29462.269531,29462.269531,11900,
2015-02-20,29446.210938,29462.089844,29178.259766,29231.410156,29231.410156,11500,
2015-02-23,29316.580078,29362.960938,28913.160156,28975.109375,28975.109375,8800,
2015-02-24,29016.550781,29130.669922,28875.939453,29004.660156,29004.660156,10200,
2015-02-25,29115.320313,29269.830078,28967.609375,29007.990234,29007.990234,8000,
2015-02-26,29051.900391,29069.130859,28693.820313,28746.650391,28746.650391,10700,
2015-02-27,28865.119141,29254.019531,28837.060547,29220.119141,29220.119141,16500,
2015-02-28,null,null,null,null,null,null,
2015-03-02,29533.419922,29576.320313,29259.769531,29459.140625,29459.140625,15300,
2015-03-03,29500.189453,29636.859375,29364.869141,29593.730469,29593.730469,12200,
2015-03-04,29937.269531,30024.740234,29289.050781,29380.730469,29380.730469,17000,
2015-03-05,29436.769531,29518.320313,29162.470703,29448.949219,29448.949219,13400,
2015-03-09,29436.769531,29518.320313,28799.759766,28844.779297,28844.779297,11800,
2015-03-10,28924.060547,28949.109375,28584.490234,28709.869141,28709.869141,11200,
2015-03-11,28725.75,28843.230469,28608.179688,28659.169922,28659.169922,12500,
2015-03-12,28798.609375,28971.009766,28772.710938,28930.410156,28930.410156,11100,
2015-03-13,29134.929688,29183.759766,28448.480469,28503.300781,28503.300781,11500,
2015-03-16,28546.310547,28581.820313,28384.089844,28437.710938,28437.710938,11100,
2015-03-17,28595,28784.349609,28435.449219,28736.380859,28736.380859,11000,
2015-03-18,28766.869141,28806.970703,28546.759766,28622.119141,28622.119141,9700,
2015-03-19,28805.220703,28978.740234,28411.699219,28469.669922,28469.669922,11400,
2015-03-20,28465.439453,28484.359375,28209.660156,28261.080078,28261.080078,13900,
2015-03-23,28317.289063,28385.140625,28163.900391,28192.019531,28192.019531,10000,
2015-03-24,28209.330078,28455.320313,28130.089844,28161.720703,28161.720703,9700,
2015-03-25,28216.089844,28249.599609,28031.419922,28111.830078,28111.830078,17400,
2015-03-26,27937.619141,27997.140625,27384.869141,27457.580078,27457.580078,12700,
2015-03-27,27649.779297,27694.410156,27248.449219,27458.640625,27458.640625,11400,
2015-03-30,27655.789063,28017.970703,27624.759766,27975.859375,27975.859375,11100,
2015-03-31,28069.849609,28180.640625,27868.210938,27957.490234,27957.490234,11100,
2015-04-01,27954.859375,28298.339844,27889.019531,28260.140625,28260.140625,8100,
2015-04-06,27954.859375,28530.810547,27889.019531,28504.460938,28504.460938,8300,
2015-04-07,28582.330078,28641.080078,28274.359375,28516.589844,28516.589844,11900,
2015-04-08,28601.490234,28763.060547,28566.609375,28707.75,28707.75,9800,
2015-04-09,28858.419922,28906.710938,28622.439453,28885.210938,28885.210938,13100,
2015-04-10,28889.269531,28907.810547,28756.75,28879.380859,28879.380859,8000,
2015-04-13,28955.130859,29072.509766,28843.939453,29044.439453,29044.439453,8500,
2015-04-15,28955.130859,29094.609375,28721.630859,28799.689453,28799.689453,10500,
2015-04-16,28876.230469,28876.230469,28497.699219,28666.039063,28666.039063,8400,
2015-04-17,28682.970703,28696.189453,28403.759766,28442.099609,28442.099609,13900,
2015-04-20,28525.650391,28539.460938,27802.369141,27886.210938,27886.210938,19000,
2015-04-21,27860.509766,27976.929688,27598.210938,27676.039063,27676.039063,20700,
2015-04-22,27756.679688,27947.259766,27385.480469,27890.130859,27890.130859,11700,
2015-04-23,27977.269531,28087.779297,27621.179688,27735.019531,27735.019531,11400,
2015-04-24,27804.580078,27829.109375,27344.699219,27437.939453,27437.939453,12000,
2015-04-27,27565.490234,27567.279297,27141.550781,27176.990234,27176.990234,12100,
2015-04-28,27215.609375,27482.140625,27073.25,27396.380859,27396.380859,10300,
2015-04-29,27395.710938,27438.960938,27176.539063,27225.929688,27225.929688,9500,
2015-04-30,27242.050781,27242.050781,26897.539063,27011.310547,27011.310547,10900,
2015-05-04,27242.050781,27537.849609,26897.539063,27490.589844,27490.589844,8300,
2015-05-05,27561.320313,27603.710938,27338.230469,27440.140625,27440.140625,11300,
2015-05-06,27473.359375,27501.150391,26677.640625,26717.369141,26717.369141,14200,
2015-05-07,26721.339844,26850.369141,26423.990234,26599.109375,26599.109375,12500,
2015-05-08,26814.380859,27196.279297,26814.380859,27105.390625,27105.390625,8800,
2015-05-11,27249.419922,27544.240234,27231.279297,27507.300781,27507.300781,11300,
2015-05-12,27502.910156,27502.910156,26837.390625,26877.480469,26877.480469,12400,
2015-05-13,27023.710938,27299.800781,26750.009766,27251.099609,27251.099609,13600,
2015-05-14,27290.169922,27293.990234,26948.619141,27206.060547,27206.060547,8900,
2015-05-15,27233.900391,27379.570313,27159.759766,27324,27324,9300,
2015-05-18,27416.970703,27725.970703,27370.279297,27687.300781,27687.300781,7800,
2015-05-19,27663.080078,27872.230469,27574.070313,27645.529297,27645.529297,10600,
2015-05-20,27749.300781,27903.009766,27743.990234,27837.210938,27837.210938,16400,
2015-05-21,27885.359375,27911.439453,27712.730469,27809.349609,27809.349609,8400,
2015-05-22,27849.539063,28071.160156,27828.609375,27957.5,27957.5,17800,
2015-05-25,27893.25,27903.289063,27614.320313,27643.880859,27643.880859,8300,
2015-05-26,27633.660156,27675.939453,27473.539063,27531.410156,27531.410156,7100,
2015-05-27,27447.400391,27595.800781,27363.720703,27564.660156,27564.660156,8600,
2015-05-28,27619.310547,27666.369141,27354.349609,27506.710938,27506.710938,9000,
2015-05-29,27553.029297,27888.320313,27467.230469,27828.439453,27828.439453,12500,
2015-06-01,27770.789063,27959.429688,27737.580078,27848.990234,27848.990234,9600,
2015-06-02,27890.730469,27902.529297,27146.679688,27188.380859,27188.380859,14500,
2015-06-03,27230.679688,27276.220703,26698.259766,26837.199219,26837.199219,14000,
2015-06-04,26940.640625,26948.839844,26551.970703,26813.419922,26813.419922,11600,
2015-06-05,26819.820313,27014.419922,26718.439453,26768.490234,26768.490234,11900,
2015-06-08,26814.310547,26827.060547,26472.869141,26523.089844,26523.089844,7900,
2015-06-09,26510.289063,26604.650391,26438.320313,26481.25,26481.25,11000,
2015-06-10,26517.320313,26934.740234,26493.289063,26840.5,26840.5,8400,
2015-06-11,26959.980469,27000.140625,26348.929688,26370.980469,26370.980469,11300,
2015-06-12,26340.320313,26489.580078,26307.070313,26425.300781,26425.300781,9600,
2015-06-15,26498.669922,26728.599609,26307.839844,26586.550781,26586.550781,11000,
2015-06-16,26586.859375,26731.349609,26379.929688,26686.509766,26686.509766,13100,
2015-06-17,26815.410156,26983.480469,26728.890625,26832.660156,26832.660156,23000,
2015-06-18,26916.990234,27175.390625,26910.259766,27115.830078,27115.830078,10500,
2015-06-19,27207.759766,27404.599609,27202.380859,27316.169922,27316.169922,8100,
2015-06-22,27427.189453,27782.310547,27417.029297,27730.210938,27730.210938,8100,
2015-06-23,27760.109375,27882.660156,27666.589844,27804.369141,27804.369141,8600,
2015-06-24,27852.320313,27948.240234,27647.289063,27729.669922,27729.669922,9400,
2015-06-25,27660.220703,27968.75,27635.759766,27895.970703,27895.970703,10100,
2015-06-26,27880.720703,27921.859375,27675.160156,27811.839844,27811.839844,9600,
2015-06-29,27451.070313,27695.320313,27209.189453,27645.150391,27645.150391,10900,
2015-06-30,27627.390625,27814.529297,27570.949219,27780.830078,27780.830078,9500,
2015-07-01,27823.650391,28099.25,27799.910156,28020.869141,28020.869141,18400,
2015-07-02,28100.380859,28115.960938,27906.349609,27945.800781,27945.800781,6800,
2015-07-03,27973.119141,28135.429688,27897.449219,28092.789063,28092.789063,6000,
2015-07-06,27857.199219,28235.310547,27774.800781,28208.759766,28208.759766,8300,
2015-07-07,28220.109375,28335.230469,28084.359375,28171.689453,28171.689453,8000,
2015-07-08,28031.449219,28031.449219,27635.720703,27687.720703,27687.720703,13700,
2015-07-09,27681.490234,27798.130859,27540.599609,27573.660156,27573.660156,8200,
2015-07-10,27705.359375,27729.460938,27530.900391,27661.400391,27661.400391,10800,
2015-07-13,27739.320313,28005.169922,27635.060547,27961.189453,27961.189453,7800,
2015-07-14,27986.919922,28018.589844,27853.960938,27932.900391,27932.900391,6900,
2015-07-15,28022.140625,28218.369141,27986.480469,28198.289063,28198.289063,6000,
2015-07-16,28259.699219,28478.429688,28245.810547,28446.119141,28446.119141,8500,
2015-07-17,28480.919922,28576.320313,28417.460938,28463.310547,28463.310547,7300,
2015-07-20,28544.279297,28549.130859,28319.830078,28420.119141,28420.119141,6600,
2015-07-21,28381.820313,28518.060547,28138.300781,28182.140625,28182.140625,11700,
2015-07-22,28159.419922,28546.419922,28070.910156,28504.929688,28504.929688,9500,
2015-07-23,28540.970703,28578.330078,28315.369141,28370.839844,28370.839844,8900,
2015-07-24,28390.5,28402.640625,28083.759766,28112.310547,28112.310547,9300,
2015-07-27,28117.650391,28117.650391,27529.570313,27561.380859,27561.380859,9500,
2015-07-28,27630.210938,27676.650391,27416.390625,27459.230469,27459.230469,11800,
2015-07-29,27540.460938,27609.289063,27470.089844,27563.429688,27563.429688,8600,
2015-07-30,27685.820313,27854.460938,27649.970703,27705.349609,27705.349609,9400,
2015-07-31,27814.509766,28161.169922,27814.509766,28114.560547,28114.560547,15000,
2015-08-03,28089.089844,28263.349609,28071.369141,28187.060547,28187.060547,10200,
2015-08-04,28225.039063,28264.720703,27866.119141,28071.929688,28071.929688,13600,
2015-08-05,28138.039063,28315.710938,28135.679688,28223.080078,28223.080078,9800,
2015-08-06,28291.880859,28359.960938,28163.689453,28298.130859,28298.130859,7500,
2015-08-07,28327.109375,28335.669922,28193.929688,28236.390625,28236.390625,10300,
2015-08-10,28250.779297,28417.589844,28017.849609,28101.720703,28101.720703,8700,
2015-08-11,28193.259766,28205.119141,27825.830078,27866.089844,27866.089844,14700,
